date,id,content,username,like_count,retweet_count
2023-03-31 21:28:48+00:00,1641915472546533377,"@RenegadeThinke1 @frizzleboi @LuftkoppTim @axfcb_ @thomasjeans @MKBHD There’s a timeliness factor he has to deal with too…no one wants a iPhone review 8 months after it drops, well I won’t say no one…but the video won’t do as well",NewEraNoah,15,0
2023-03-31 20:50:46+00:00,1641905898795745284,"@marrgielaa22 @MKBHD Dude, I'm an iPhone user (albeit one who doesn't believe in commiting to one company for a product) but I have to strongly disagree with you on this one. Google definitely gets a lot of things wrong but I can't deny that Android still serves its primary functions.",MythicSuns,0,0
2023-03-31 20:19:14+00:00,1641897964837965824,iPhone HACKS: 3 Cool Tips You Probably Didn’t Know https://t.co/srGh7LdPiE via @YouTube #BuddyBuck #shorts #iPhone #RETT @Apple @MKBHD,freedomoftime,0,0
2023-03-31 17:10:51+00:00,1641850557337079809,"@lasterd80 @DracoSura @VST001 @MKBHD @Mrwhosetheboss @LeakerApple @UniverseIce @SomeGadgetGuy @That_Kartikey @RealJoseph123 @luca_scagliotti @_prophet_futu It depends. Multitasking yes, but some games like genshin the iPhone has better thermals while in other games, like tower of fantasy, the s23u has better thermals. In rendering videos, the iPhone has better thermals. All in all, I'd say thermals are a tie based on my testing.",DameTechChannel,4,0
2023-03-31 16:44:30+00:00,1641843927442391060,"@lasterd80 @DracoSura @VST001 @MKBHD @Mrwhosetheboss @LeakerApple @UniverseIce @SomeGadgetGuy @That_Kartikey @RealJoseph123 @luca_scagliotti @_prophet_futu @DameTechChannel Did you watch the video? The screen share on s23u was laggy and useless. Both failed, at this impossible test and proves that neither would be worth using under this workload. ""flawless"" is not what the s23u was! The s23u was not as bad as the iPhone, but neither passed the test.",AndyH_England,1,0
2023-03-31 16:44:22+00:00,1641843890054389760,"@MKBHD @ijustine @Mrwhosetheboss 
What is your favourite iPhone?
Mine is the silver iPhone 14 Pro",MacBookAirM2,0,0
2023-03-31 13:38:23+00:00,1641797087183380482,@MKBHD I should have never open up my iphone 3gs,WRNR_it,0,0
2023-03-31 11:19:57+00:00,1641762250909253634,@theapplecycle @MKBHD Hmmm compare it to iphone se 2022 😂 (similar price),privatetalky,1,0
2023-03-31 09:17:34+00:00,1641731450029350912,"@MKBHD The 1st gen iPhone is part of history, I would’ve definitely bought it for $60,000 if I had it.",AS_Mbali,0,0
2023-03-31 09:06:01+00:00,1641728542504304640,"@b_hvrd @MKBHD Ohhh, and the arc stands for the iPhone 6 bendgate?",Dedeurwaerder_T,2,0
2023-03-31 05:47:45+00:00,1641678648972562432,@Apple iPhone 13 pro after 1.5 years! Battery still holds up! @TechnicalGuruji @MKBHD @tech_burner https://t.co/r542YcYPlB,Bittusi73955566,0,0
2023-03-31 01:50:41+00:00,1641618987888033793,"@alexwilliamwin @MKBHD My point is, even if you buy it, either you’ll have to keep it seal packed if you wish to preserve its value, or you’ll unbox it and its value would fall to nothing.
In my country, unboxed iPhone 2G are available for quite cheap easily (‘cause people don’t value it here).",vedanshchn,1,0
2023-03-30 23:51:31+00:00,1641589001751543809,@MKBHD I still have my original iPhone.,maddass1218,0,0
2023-03-30 23:12:46+00:00,1641579249336188936,"@MKBHD What are the chances the battery expanded and ruined the iPhone, but no one will find out because unsealing it would hurt its value?",Xybr,0,0
