Datetime,Tweet Id,Text,Username
2022-07-30 23:56:58+00:00,1553530119838306304,"うちのハリネズミがここまで大きくなりました。
[iPhone] https://t.co/s87WbeBgmJ
[Android] https://t.co/UmgZ4F4YI8 https://t.co/kfP4JfFnwo",tomoti9
2022-07-30 23:56:52+00:00,1553530095498776576,"モイ！iPhoneからキャス配信中 -すこし
https://t.co/Hno6vSDWfS",kazusanosk
2022-07-30 23:56:46+00:00,1553530069762580480,"dios , me rompió el iPhone y el cargador , lo estaba enchufando y me lo tiro desde arriba , es pa matar",LuliAlbanese
2022-07-30 23:56:46+00:00,1553530069435310080,"@t_jk9124 私もこういうの見るとGALAXYにしたくなる✨パカパカいいよね🎶
でも、私もiPhone…しかも機種変したばっかり😅",bts_06130407
2022-07-30 23:56:45+00:00,1553530067493470209,Ptdrrrr un gars qui vole un iPhone (qui disons leur ne causera pas de perte majeure et qui fait sûrement ça dans le but de le revendre pour se nourrir ) ça choque plus que leur présidente qui vole des centaines de milliers à l’Europe,ftzjbr
2022-07-30 23:56:39+00:00,1553530041165926405,"@fadererah_ Y be say na only yur yansh change for the picture? Nothing else!
iPhone you no upgrade~~",SaintSolution3
2022-07-30 23:56:38+00:00,1553530035876798465,@Luiz_AugustoASR iphone? 🤭 pra você ter um treco,gabesilva26
2022-07-30 23:56:37+00:00,1553530030176829441,"Finally... The blowjob iPhone bar is finally here

Miss Kim aka Lum Zee Bhadie
Freestyle next week Friday 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",TchindeYannick
2022-07-30 23:56:35+00:00,1553530022912266242,iphone screen dead LOL i can still take calls somehow tho,kalymode
2022-07-30 23:56:35+00:00,1553530022412967936,"女将…iPhone使っとるんか。

ED変わった！
 #デパプリ",IJN_SATO
2022-07-30 23:56:34+00:00,1553530018168393728,"@Saka_CITYR あー、やっぱりw
まぁでもわざわざアップデートしなくてもいいかなって、
正直iPadとiPhoneで写真を分けてるので、共有されたら逆にめんどくさい節はあります",B777300ERJA731J
2022-07-30 23:56:32+00:00,1553530010589605888,"@kii_cosplayer Androidだったんだ!?
私Android使いこなせなくてiPhoneも使いこなせい機械音痴だから今頑張ってる笑
iPhone値上がりしてるから安めの会社で契約できる歳になふとよきね！",Milk_cosplay_5
2022-07-30 23:56:31+00:00,1553530005602304001,@MobileHonesty My iPhone 11pro max still working like a new… and yes battery is OK…,arturp78
2022-07-30 23:56:27+00:00,1553529990968668160,"#HibikiRun のGiveaway

⏳あと12時間

ガチャの動画に9秒間の音楽つけてツイートにリプライするだけでOGやWLもらえるチャンス🎉

僕はiPhoneアプリのFigureで作曲しました🎶",athomegeek123
2022-07-30 23:56:27+00:00,1553529990498734080,"tento tirar uma foto de boa qualidade mas o celular não colabora, pq o iPhone foi quebrar 😭",bassani_thamara
2022-07-30 23:56:22+00:00,1553529968637919232,iphone me engatilhando uma hora dessas mostrando esse cabelo perfeito 😭 mas logo logo vai estar desse tamanho de novo https://t.co/ueFXVeLxDo,victorialeal_
2022-07-30 23:56:19+00:00,1553529956067446784,"My iPhone port is broken and I had to go without music for 1 week, I finally can drive in peace 🤣🤣",Dmoneyy_3
2022-07-30 23:56:17+00:00,1553529949721862144,たまにiPhoneゴーストタッチが起こる昨日も他の所に電話をかけていた。同じ人に８件とか。めちゃくちゃ焦るし相手にも迷惑かけてしまう。一応謝罪の電話はしたけどそれからまたかけていた。仕事中胸ポケットにスマホ入れて仕事しているんだけど動いた時とか勝手に作動する。本当は持ち歩きたくないけど,No9281014
2022-07-30 23:56:16+00:00,1553529943761494020,@raawrlola Olhe o preço do iPhone 13 Pro Max e pense que daria pra fazer uma trip maneiríssima…,BukowitzWilliam
2022-07-30 23:56:13+00:00,1553529929836515334,Can we get a trump x iphone collab,oitjustgotreal
2022-07-30 23:56:07+00:00,1553529904188329984,@chanbroxa @hanvadia twitter for iphone,changbinpika
2022-07-30 23:56:05+00:00,1553529897280507904,"【在庫復活】楽天市場にてiPhone 13 mini 256GB simフリー 端末本体のみ （楽天モバイル回線なし） 新品の在庫復活を検知しました。
※売り切れ表示でも商品ページに進むと購入できる可能性があります。
https://t.co/lj34VCfFrb
08:56:05",RareItemAlarm
2022-07-30 23:55:57+00:00,1553529863872577537,Tf I gotta iPhone fa don’t nobody even ft me or play me in iMessage games🙄,DreSteward
2022-07-30 23:55:56+00:00,1553529860165103622,"モイ！iPhoneからキャス配信中 -へい！おはようございます
https://t.co/oqq59KMSUD",taizai625
2022-07-30 23:55:55+00:00,1553529856696139777,@Mazeushenri iPhone 13 pro msx andando de  busao ?,iamleofirmino
2022-07-30 23:55:54+00:00,1553529853810712576,"昨日はLoGリリースおめでとう！
超良い日だった！はず！
初featもissei#さんとやれて最高！

メンツも良かった！
川上さんのパフェ、初めましてのBONELESS、大好きなBROMANCEのFALL OFF兄貴。
一緒にできてマジ嬉しかった！

写真は航大を探せでいきましょう
(photo by iPhoneおじさん @723_LoG_tomo ) https://t.co/ehIX3mqL1T",kodai_momentjp
2022-07-30 23:55:44+00:00,1553529808453308417,@JamieHarrix My iPhone,yvettemlaboy
2022-07-30 23:55:43+00:00,1553529804498124800,"@richardson_edu MacBook could fly… iPad is ideal. I worked on both. There are some drawing, photo, and Sketchnoting projects that are ideal on iPad. Could be worked around tho I would imagine w/ a Mac and an iPhone.",RobertsLearns
2022-07-30 23:55:39+00:00,1553529790828892161,a câmera do iphone 13 te deixa dentro de um eterno remini kkkkkkkk,coradixxx
2022-07-30 23:55:37+00:00,1553529782218137600,"モイ！iPhoneからキャス配信中 -つづき
#すゆらいぶ
https://t.co/jKwoAM9Bvk",suyu_suzuyoi
2022-07-30 23:55:37+00:00,1553529779965505536,"夏活 推し活で撮しまくるから、熱を持ちやすいCPU機種と、電池がもたない機種を避けてiPhone きれいなものをたくさん撮りたいから13pro

イベント自体がコロナで中止😑",bugi_respect77
